analysis_type	partition_id	metric_name	metric_direction	stratum	model_id	n_conditions	mean_metric	oriented_risk	is_winner	aggregate_winner_regret
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	high_av	pb_latent_additive	16	0.59599651590807334	0.59599651590807334	False	0.018988341004943177
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	high_av	pb_linear_additive	16	0.96199926165504379	0.96199926165504379	False	0.018988341004943177
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	high_av	pb_sparse_additive_vae	16	0.83634825461940254	0.83634825461940254	False	0.018988341004943177
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	not_high_av	pb_biolord_star	30	0.89389584064596062	0.89389584064596062	False	0
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	not_high_av	pb_cpa	30	0.43954996279276826	0.43954996279276826	False	0
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	not_high_av	pb_decoder_only	30	0.40378428118246068	0.40378428118246068	False	0
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	not_high_av	pb_latent_additive	30	0.37663191074224994	0.37663191074224994	True	0
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	not_high_av	pb_linear_additive	30	0.49995266448695869	0.49995266448695869	False	0
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	not_high_av	pb_sparse_additive_vae	30	0.87947186004801836	0.87947186004801836	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	both_high	pb_biolord_star	2	0.87500978491939474	0.87500978491939474	False	0.02982505831707033
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	both_high	pb_cpa	2	0.44236366674637406	0.44236366674637406	True	0.02982505831707033
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	both_high	pb_decoder_only	2	0.5296167593221992	0.5296167593221992	False	0.02982505831707033
