metric_name	metric_direction	composition_id	lambda_high_av	weight_high_effect	model_id	metric_value	oriented_risk	rank	is_winner	regret
relative_l2_response_error	lower_is_better	lambda_0118	0.11800000000000001	0.88200000000000001	pb_linear_additive	0.50962640652839031	0.50962640652839031	4	False	0.1011345064484428
relative_l2_response_error	lower_is_better	lambda_0118	0.11800000000000001	0.88200000000000001	pb_sparse_additive_vae	0.91104014844001202	0.91104014844001202	5	False	0.50254824836006451
relative_l2_response_error	lower_is_better	lambda_0119	0.11900000000000001	0.88100000000000001	pb_biolord_star	0.91408030023971854	0.91408030023971854	6	False	0.50535575680025668
relative_l2_response_error	lower_is_better	lambda_0119	0.11900000000000001	0.88100000000000001	pb_cpa	0.47618868646785284	0.47618868646785284	3	False	0.067464143028390988
relative_l2_response_error	lower_is_better	lambda_0119	0.11900000000000001	0.88100000000000001	pb_decoder_only	0.42620810628176808	0.42620810628176808	2	False	0.017483562842306233
relative_l2_response_error	lower_is_better	lambda_0119	0.11900000000000001	0.88100000000000001	pb_latent_additive	0.40872454343946185	0.40872454343946185	1	True	0
relative_l2_response_error	lower_is_better	lambda_0119	0.11900000000000001	0.88100000000000001	pb_linear_additive	0.51020592787831742	0.51020592787831742	4	False	0.10148138443885557
relative_l2_response_error	lower_is_better	lambda_0119	0.11900000000000001	0.88100000000000001	pb_sparse_additive_vae	0.91094760837818911	0.91094760837818911	5	False	0.50222306493872726
relative_l2_response_error	lower_is_better	lambda_0120	0.12	0.88	pb_biolord_star	0.91405062945962168	0.91405062945962168	6	False	0.50509344266064549
relative_l2_response_error	lower_is_better	lambda_0120	0.12	0.88	pb_cpa	0.47632495709006839	0.47632495709006839	3	False	0.067367770291092199
relative_l2_response_error	lower_is_better	lambda_0120	0.12	0.88	pb_decoder_only	0.42643207712882036	0.42643207712882036	2	False	0.017474890329844173
relative_l2_response_error	lower_is_better	lambda_0120	0.12	0.88	pb_latent_additive	0.40895718679897619	0.40895718679897619	1	True	0
relative_l2_response_error	lower_is_better	lambda_0120	0.12	0.88	pb_linear_additive	0.51078544922824443	0.51078544922824443	4	False	0.10182826242926823
relative_l2_response_error	lower_is_better	lambda_0120	0.12	0.88	pb_sparse_additive_vae	0.91085506831636598	0.91085506831636598	5	False	0.50189788151738979
relative_l2_response_error	lower_is_better	lambda_0121	0.121	0.879	pb_biolord_star	0.91402095867952493	0.91402095867952493	6	False	0.5048311285210344
relative_l2_response_error	lower_is_better	lambda_0121	0.121	0.879	pb_cpa	0.476461227712284	0.476461227712284	3	False	0.067271397553793466
relative_l2_response_error	lower_is_better	lambda_0121	0.121	0.879	pb_decoder_only	0.42665604797587259	0.42665604797587259	2	False	0.017466217817382057
relative_l2_response_error	lower_is_better	lambda_0121	0.121	0.879	pb_latent_additive	0.40918983015849053	0.40918983015849053	1	True	0
relative_l2_response_error	lower_is_better	lambda_0121	0.121	0.879	pb_linear_additive	0.51136497057817154	0.51136497057817154	4	False	0.10217514041968101
relative_l2_response_error	lower_is_better	lambda_0121	0.121	0.879	pb_sparse_additive_vae	0.91076252825454307	0.91076252825454307	5	False	0.50157269809605254
relative_l2_response_error	lower_is_better	lambda_0122	0.122	0.878	pb_biolord_star	0.91399128789942818	0.91399128789942818	6	False	0.50456881438142331
relative_l2_response_error	lower_is_better	lambda_0122	0.122	0.878	pb_cpa	0.4765974983344996	0.4765974983344996	3	False	0.067175024816494733
relative_l2_response_error	lower_is_better	lambda_0122	0.122	0.878	pb_decoder_only	0.42688001882292487	0.42688001882292487	2	False	0.017457545304919997
relative_l2_response_error	lower_is_better	lambda_0122	0.122	0.878	pb_latent_additive	0.40942247351800487	0.40942247351800487	1	True	0
relative_l2_response_error	lower_is_better	lambda_0122	0.122	0.878	pb_linear_additive	0.51194449192809854	0.51194449192809854	4	False	0.10252201841009367
