dataset_id	split_id	condition_id	model_id	metric_name	metric_direction	family	metric_value	n_registered_runs_collapsed	seed_ids	run_ids
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_latent_additive	relative_l2_response_error	lower_is_better	latent_additive	0.232271916530846	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_linear_additive	gene_wise_spearman	higher_is_better	linear_additive	0.87315443540827786	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_linear_additive	relative_l2_response_error	lower_is_better	linear_additive	0.33571545742111136	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_sparse_additive_vae	gene_wise_spearman	higher_is_better	sparse_additive_vae	0.48153164817865718	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_sparse_additive_vae	relative_l2_response_error	lower_is_better	sparse_additive_vae	0.87669541881722401	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_biolord_star	gene_wise_spearman	higher_is_better	latent_causal_representation	0.28456321576382876	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.9303382725206869	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.82664290980787025	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.44413623989997059	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.82942347518699155	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.3798841373416047	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_latent_additive	gene_wise_spearman	higher_is_better	latent_additive	0.8314033231624266	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_latent_additive	relative_l2_response_error	lower_is_better	latent_additive	0.39057013977104499	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_linear_additive	gene_wise_spearman	higher_is_better	linear_additive	0.80910767860503319	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_linear_additive	relative_l2_response_error	lower_is_better	linear_additive	0.55764026286309465	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_sparse_additive_vae	gene_wise_spearman	higher_is_better	sparse_additive_vae	0.37505094562276381	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CBL+TGFBR2	pb_sparse_additive_vae	relative_l2_response_error	lower_is_better	sparse_additive_vae	0.8987250711945991	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_biolord_star	gene_wise_spearman	higher_is_better	latent_causal_representation	0.24768173786112571	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.93914804780631533	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.86217963166847222	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.3290052648518651	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.86450074214073624	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.33261062856494511	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_latent_additive	gene_wise_spearman	higher_is_better	latent_additive	0.87420235380728051	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_latent_additive	relative_l2_response_error	lower_is_better	latent_additive	0.3566982542430121	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_linear_additive	gene_wise_spearman	higher_is_better	linear_additive	0.81429283765050131	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
