run_id	model_id	family	seed	metric_name	metric_direction	composition_id	lambda_high_av	metric_value
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0056	0.056000000000000001	0.40951325539429007
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0057	0.057000000000000002	0.40947638162558647
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0058	0.058000000000000003	0.40943950785688282
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0059	0.059000000000000004	0.40940263408817923
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0060	0.059999999999999998	0.40936576031947558
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0061	0.060999999999999999	0.40932888655077199
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0062	0.062	0.40929201278206828
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0063	0.063	0.40925513901336469
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0064	0.064000000000000001	0.40921826524466104
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0065	0.065000000000000002	0.40918139147595745
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0066	0.066000000000000003	0.4091445177072538
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0067	0.067000000000000004	0.4091076439385502
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0068	0.068000000000000005	0.4090707701698465
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0069	0.069000000000000006	0.4090338964011429
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0070	0.070000000000000007	0.40899702263243926
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0071	0.071000000000000008	0.40896014886373566
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0072	0.072000000000000008	0.40892327509503196
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0073	0.072999999999999995	0.40888640132632842
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0074	0.073999999999999996	0.40884952755762471
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0075	0.074999999999999997	0.40881265378892112
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0076	0.075999999999999998	0.40877578002021747
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0077	0.076999999999999999	0.40873890625151388
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0078	0.078	0.40870203248281023
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0079	0.079000000000000001	0.40866515871410658
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0080	0.080000000000000002	0.40862828494540293
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0081	0.081000000000000003	0.40859141117669928
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0082	0.082000000000000003	0.40855453740799569
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0083	0.083000000000000004	0.40851766363929204
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0084	0.084000000000000005	0.40848078987058845
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0085	0.085000000000000006	0.4084439161018848
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0086	0.086000000000000007	0.40840704233318115
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0087	0.087000000000000008	0.4083701685644775
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0088	0.087999999999999995	0.40833329479577385
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0089	0.088999999999999996	0.40829642102707026
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0090	0.089999999999999997	0.40825954725836661
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0091	0.090999999999999998	0.40822267348966301
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0092	0.091999999999999998	0.40818579972095931
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0093	0.092999999999999999	0.40814892595225571
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0094	0.094	0.40811205218355207
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0095	0.095000000000000001	0.40807517841484847
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0096	0.096000000000000002	0.40803830464614482
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0097	0.097000000000000003	0.40800143087744123
NM-NORMAN-FORMAL-BIO-S245	pb_biolord_star	latent_causal_representation	245	gene_wise_spearman	higher_is_better	lambda_0098	0.098000000000000004	0.40796455710873752
